;CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA;DT_INI_EXERC;COLUNA_DF;con_ind;tipo_dem;base
45276;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.05.08;Outras provisões;0.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45278;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.06;Passivos sobre Ativos Não Correntes a Venda e Descontinuados;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45280;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.06.01;Passivos sobre Ativos Não Correntes a Venda;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45282;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.06.02;Passivos sobre Ativos de Operações Descontinuadas;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45284;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02;Passivo Não Circulante;1080479.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45286;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01;Passivo Exigível a Longo Prazo;1080479.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45288;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.01;Contas a Pagar;862380.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45290;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.01.01;Em Moeda Nacional;0.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45292;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.01.02;Em Moeda Estrangeira;0.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45294;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.01.03;Provisões para Impostos e contribuições;435264.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45296;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.01.04;Provisões para benefícios pós-emprego;412920.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45298;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.01.05;Outras contas a pagar;14196.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45300;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.02;Débitos das Operações;789.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45302;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.02.01;Débitos das operações com resseguros e retrocessões;789.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45304;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.03;Provisões Técnicas;158665.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45306;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.03.01;Seguros e Resseguros;158665.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45308;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.03.02;Previdência Complementar;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45310;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.03.03;Capitalização;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45312;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.03.04;Outras Provisões;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45314;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.04;Outros Passivos;58645.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45316;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.04.01;Contingências fiscais;0.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45318;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.04.02;Contingências cíveis e trabalhistas;58645.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45320;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.04.03;Contingências previdenciárias;0.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45322;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.04.04;Outras provisões;0.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45324;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.05;Tributos Diferidos;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45326;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.05.01;Tributos Diferidos;0.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45328;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.06;Passivos sobre Ativos Não Correntes a Venda e Descontinuados;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45330;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.06.01;Passivos sobre Ativos Não Correntes a Venda;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45332;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.06.02;Passivos sobre Ativos de Operações Descontinuadas;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45334;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.07;Lucros e Receitas a Apropriar;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45336;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.07.01;Lucros a Apropriar;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45338;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.07.02;Receitas a Apropriar;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45340;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.07.03;Subvenções de Investimento a Apropriar;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45342;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.08;Adiantamento para Futuro Aumento Capital;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45344;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.02.01.08.01;Adiantamento para Futuro Aumento Capital;0.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45346;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03;Patrimônio Líquido Consolidado;4000780.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45348;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.01;Capital Social Realizado;1953080.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45350;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.02;Reservas de Capital;-12956.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45352;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.02.01;Ágio na Emissão de Ações;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45354;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.02.02;Reserva Especial de Ágio na Incorporação;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45356;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.02.03;Alienação de Bônus de Subscrição;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45358;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.02.04;Opções Outorgadas;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45360;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.02.05;Ações em Tesouraria;-12956.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45362;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.02.06;Adiantamento para Futuro Aumento Capital;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45364;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.02.07;Ágio em transações de capital;0.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45366;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.03;Reservas de Reavaliação;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45368;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.03.01;Ativos Próprios;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45370;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.03.02;Controladas/Coligadas;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45372;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.04;Reservas de Lucros;2174037.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45374;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.04.01;Reserva Legal;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45376;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.04.02;Reserva Estatutária;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45378;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.04.03;Reserva para Contingências;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45380;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.04.04;Reserva de Lucros a Realizar;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45382;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.04.05;Reserva de Retenção de Lucros;1595109.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45384;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.04.06;Reserva Especial para Dividendos Não Distribuídos;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45386;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.04.07;Reserva de Incentivos Fiscais;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45388;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.04.08;Dividendo Adicional Proposto;578928.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45390;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.04.09;Ações em Tesouraria;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45392;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.04.10;Reserva de Reinvestimentos;0.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45394;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.04.11;Reserva de Reinvestimentos;0.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45396;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.05;Lucros/Prejuízos Acumulados;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45398;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.06;Ajustes de Avaliação Patrimonial;-113381.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45400;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.06.01;Ajustes de avaliação patrimonial;0.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45402;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.07;Ajustes Acumulados de Conversão;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45404;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.07.01;Ações em Tesouraria;0.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45406;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.08;Outros Resultados Abrangentes;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45408;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.08.01;Outros Resultados Abrangentes;0.0;N;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
45410;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.03.09;Participação dos Acionistas Não Controladores;0.0;S;;;DF Consolidado;Balanço Patrimonial Passivo;dfp
96300;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2;Passivo Total;15914044.0;S;;;DF Individual;Balanço Patrimonial Passivo;dfp
96302;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01;Passivo Circulante;10833205.0;S;;;DF Individual;Balanço Patrimonial Passivo;dfp
96304;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.01;Contas a Pagar;366208.0;S;;;DF Individual;Balanço Patrimonial Passivo;dfp
96306;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.01.01;Obrigações Sociais;32002.0;N;;;DF Individual;Balanço Patrimonial Passivo;dfp
96308;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.01.02;Obrigações Trabalhistas;0.0;N;;;DF Individual;Balanço Patrimonial Passivo;dfp
96310;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.01.03;Provisões trabalhistas;8984.0;N;;;DF Individual;Balanço Patrimonial Passivo;dfp
96312;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.01.04;Provisões para benefícios pós-emprego;38963.0;N;;;DF Individual;Balanço Patrimonial Passivo;dfp
96314;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.01.05;Provisões para impostos e contribuições;65389.0;N;;;DF Individual;Balanço Patrimonial Passivo;dfp
96316;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.01.06;Obrigações a pagar;220870.0;N;;;DF Individual;Balanço Patrimonial Passivo;dfp
96318;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.01.07;Provisões para desvalorização de Investimento;0.0;N;;;DF Individual;Balanço Patrimonial Passivo;dfp
96320;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.02;Débitos de Operações;1392759.0;S;;;DF Individual;Balanço Patrimonial Passivo;dfp
96322;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.02.01;Seguros e Resseguros;1392759.0;S;;;DF Individual;Balanço Patrimonial Passivo;dfp
96324;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.02.01.01;Operações com seguradoras;251.0;N;;;DF Individual;Balanço Patrimonial Passivo;dfp
96326;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.02.01.02;Operações com resseguradoras;1251262.0;N;;;DF Individual;Balanço Patrimonial Passivo;dfp
96328;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.02.01.03;Corretores de resseguros e retrocessões;105788.0;N;;;DF Individual;Balanço Patrimonial Passivo;dfp
96330;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.02.01.04;Outros débitos operacionais;35458.0;N;;;DF Individual;Balanço Patrimonial Passivo;dfp
96332;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.02.02;Previdência Complementar;0.0;S;;;DF Individual;Balanço Patrimonial Passivo;dfp
96334;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.02.03;Capitalização;0.0;S;;;DF Individual;Balanço Patrimonial Passivo;dfp
96336;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.02.04;Outras Operações;0.0;S;;;DF Individual;Balanço Patrimonial Passivo;dfp
96338;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.03;Depósitos de Terceiros;427425.0;S;;;DF Individual;Balanço Patrimonial Passivo;dfp
96340;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2018-12-31;2.01.03.01;Obrigações Fiscais Federais;0.0;N;;;DF Individual;Balanço Patrimonial Passivo;dfp
